date,user,stats
2018-12-06 00:00:00+00:00,105.251.173.162,9
2018-12-06 00:00:00+00:00,105.8.194.150,3
2018-12-06 00:00:00+00:00,108.79.16.255,3
2018-12-06 00:00:00+00:00,110.225.208.154,4
2018-12-06 00:00:00+00:00,111.173.101.73,6
2018-12-06 00:00:00+00:00,111.96.86.124,6
2018-12-06 00:00:00+00:00,114.195.111.64,10
2018-12-06 00:00:00+00:00,116.84.203.126,7
2018-12-06 00:00:00+00:00,118.17.215.59,4
2018-12-06 00:00:00+00:00,128.111.167.55,5
2018-12-06 00:00:00+00:00,13.50.156.73,10
2018-12-06 00:00:00+00:00,132.107.2.190,7
2018-12-06 00:00:00+00:00,132.113.63.127,5
2018-12-06 00:00:00+00:00,133.101.28.180,5
2018-12-06 00:00:00+00:00,135.162.194.255,4
2018-12-06 00:00:00+00:00,137.169.3.46,2
2018-12-06 00:00:00+00:00,138.114.118.235,9
2018-12-06 00:00:00+00:00,138.72.249.45,5
2018-12-06 00:00:00+00:00,147.85.90.148,6
2018-12-06 00:00:00+00:00,155.31.127.161,8
2018-12-06 00:00:00+00:00,16.19.245.141,6
2018-12-06 00:00:00+00:00,172.127.67.130,8
2018-12-06 00:00:00+00:00,176.201.130.124,8
2018-12-06 00:00:00+00:00,178.226.216.100,6
2018-12-06 00:00:00+00:00,181.19.201.80,8
2018-12-06 00:00:00+00:00,188.192.165.168,6
2018-12-06 00:00:00+00:00,191.92.140.158,7
2018-12-06 00:00:00+00:00,195.245.55.229,9
2018-12-06 00:00:00+00:00,197.77.165.20,8
2018-12-06 00:00:00+00:00,199.221.70.53,4
2018-12-06 00:00:00+00:00,207.228.120.95,1
2018-12-06 00:00:00+00:00,208.248.100.47,7
2018-12-06 00:00:00+00:00,211.82.163.7,6
2018-12-06 00:00:00+00:00,218.193.150.225,5
2018-12-06 00:00:00+00:00,22.127.221.137,8
2018-12-06 00:00:00+00:00,221.41.230.83,8
2018-12-06 00:00:00+00:00,222.35.94.84,4
2018-12-06 00:00:00+00:00,223.58.226.52,8
2018-12-06 00:00:00+00:00,34.34.252.183,2
2018-12-06 00:00:00+00:00,34.51.251.201,7
2018-12-06 00:00:00+00:00,40.98.237.229,2
2018-12-06 00:00:00+00:00,43.138.84.83,7
2018-12-06 00:00:00+00:00,5.183.11.205,9
2018-12-06 00:00:00+00:00,50.19.124.125,2
2018-12-06 00:00:00+00:00,58.14.179.174,7
2018-12-06 00:00:00+00:00,68.239.152.182,2
2018-12-06 00:00:00+00:00,69.77.223.149,5
2018-12-06 00:00:00+00:00,73.246.122.85,4
2018-12-06 00:00:00+00:00,74.158.86.238,5
2018-12-06 00:00:00+00:00,88.185.197.65,7
2018-12-06 00:00:00+00:00,88.218.99.69,1
2018-12-06 00:00:00+00:00,9.153.70.188,1
2018-12-06 00:00:00+00:00,9.159.76.50,4
2018-12-06 00:00:00+00:00,90.110.66.246,10
2018-12-06 00:00:00+00:00,90.59.16.81,3
2018-12-07 00:00:00+00:00,101.43.188.67,8
2018-12-07 00:00:00+00:00,102.217.183.227,7
2018-12-07 00:00:00+00:00,109.139.69.249,8
2018-12-07 00:00:00+00:00,114.215.83.95,6
2018-12-07 00:00:00+00:00,117.113.173.21,5
2018-12-07 00:00:00+00:00,121.32.70.125,3
2018-12-07 00:00:00+00:00,124.71.86.181,8
2018-12-07 00:00:00+00:00,131.39.19.228,2
2018-12-07 00:00:00+00:00,132.35.114.39,4
2018-12-07 00:00:00+00:00,138.155.233.34,8
2018-12-07 00:00:00+00:00,138.239.117.249,8
2018-12-07 00:00:00+00:00,138.31.135.212,2
2018-12-07 00:00:00+00:00,139.1.223.23,6
2018-12-07 00:00:00+00:00,149.19.156.15,5
2018-12-07 00:00:00+00:00,149.67.216.207,6
2018-12-07 00:00:00+00:00,151.221.185.53,6
2018-12-07 00:00:00+00:00,160.121.12.36,6
2018-12-07 00:00:00+00:00,162.165.208.27,9
2018-12-07 00:00:00+00:00,165.219.141.155,6
2018-12-07 00:00:00+00:00,167.203.124.93,7
2018-12-07 00:00:00+00:00,167.8.165.40,7
2018-12-07 00:00:00+00:00,173.94.65.226,6
2018-12-07 00:00:00+00:00,180.66.171.9,4
2018-12-07 00:00:00+00:00,181.210.153.128,4
2018-12-07 00:00:00+00:00,181.253.148.208,3
2018-12-07 00:00:00+00:00,188.109.143.171,5
2018-12-07 00:00:00+00:00,188.141.75.184,2
2018-12-07 00:00:00+00:00,190.97.153.205,9
2018-12-07 00:00:00+00:00,194.196.139.167,6
2018-12-07 00:00:00+00:00,196.212.39.82,4
2018-12-07 00:00:00+00:00,2.179.113.141,9
2018-12-07 00:00:00+00:00,2.230.180.76,5
2018-12-07 00:00:00+00:00,20.71.247.152,11
2018-12-07 00:00:00+00:00,201.146.43.24,3
2018-12-07 00:00:00+00:00,205.125.86.151,6
2018-12-07 00:00:00+00:00,205.68.134.12,5
2018-12-07 00:00:00+00:00,207.157.111.46,8
2018-12-07 00:00:00+00:00,208.27.185.128,7
2018-12-07 00:00:00+00:00,217.28.156.43,6
2018-12-07 00:00:00+00:00,218.226.163.90,9
2018-12-07 00:00:00+00:00,220.157.224.88,7
2018-12-07 00:00:00+00:00,220.71.138.207,5
2018-12-07 00:00:00+00:00,23.156.184.131,3
2018-12-07 00:00:00+00:00,24.239.121.83,6
2018-12-07 00:00:00+00:00,30.192.183.206,7
2018-12-07 00:00:00+00:00,40.24.255.77,5
2018-12-07 00:00:00+00:00,40.56.114.8,3
2018-12-07 00:00:00+00:00,42.239.91.129,4
2018-12-07 00:00:00+00:00,50.89.106.0,6
2018-12-07 00:00:00+00:00,52.15.45.49,6
2018-12-07 00:00:00+00:00,54.234.224.92,10
2018-12-07 00:00:00+00:00,57.12.114.98,6
2018-12-07 00:00:00+00:00,71.6.188.130,7
2018-12-07 00:00:00+00:00,75.80.61.23,6
2018-12-07 00:00:00+00:00,76.101.73.221,4
2018-12-07 00:00:00+00:00,80.111.116.195,3
2018-12-07 00:00:00+00:00,88.168.25.215,10
2018-12-07 00:00:00+00:00,88.221.60.13,6
2018-12-07 00:00:00+00:00,99.248.97.20,11
2018-12-08 00:00:00+00:00,101.98.57.247,7
2018-12-08 00:00:00+00:00,103.242.149.62,13
2018-12-08 00:00:00+00:00,105.243.142.189,7
2018-12-08 00:00:00+00:00,108.202.127.90,10
2018-12-08 00:00:00+00:00,111.239.190.190,14
2018-12-08 00:00:00+00:00,113.1.113.101,12
2018-12-08 00:00:00+00:00,113.155.195.154,10
2018-12-08 00:00:00+00:00,115.200.229.221,6
2018-12-08 00:00:00+00:00,115.69.161.189,12
2018-12-08 00:00:00+00:00,116.21.201.233,12
2018-12-08 00:00:00+00:00,118.18.63.31,5
2018-12-08 00:00:00+00:00,12.84.242.48,11
2018-12-08 00:00:00+00:00,122.230.248.241,10
2018-12-08 00:00:00+00:00,132.214.68.180,9
2018-12-08 00:00:00+00:00,135.49.252.19,10
2018-12-08 00:00:00+00:00,14.28.151.94,3
2018-12-08 00:00:00+00:00,141.167.33.145,9
2018-12-08 00:00:00+00:00,145.147.116.76,15
2018-12-08 00:00:00+00:00,147.106.237.160,9
2018-12-08 00:00:00+00:00,147.153.26.148,13
2018-12-08 00:00:00+00:00,147.60.11.237,10
2018-12-08 00:00:00+00:00,156.72.96.119,14
2018-12-08 00:00:00+00:00,158.45.79.144,10
2018-12-08 00:00:00+00:00,160.186.174.222,8
2018-12-08 00:00:00+00:00,161.190.221.118,12
2018-12-08 00:00:00+00:00,161.223.178.97,14
2018-12-08 00:00:00+00:00,164.185.91.190,11
2018-12-08 00:00:00+00:00,168.184.76.36,8
2018-12-08 00:00:00+00:00,168.220.210.109,11
2018-12-08 00:00:00+00:00,168.84.179.80,13
2018-12-08 00:00:00+00:00,17.73.82.160,19
2018-12-08 00:00:00+00:00,17.97.13.118,10
2018-12-08 00:00:00+00:00,173.174.254.126,8
2018-12-08 00:00:00+00:00,173.204.137.75,9
2018-12-08 00:00:00+00:00,174.70.164.16,13
2018-12-08 00:00:00+00:00,175.125.184.246,15
2018-12-08 00:00:00+00:00,18.101.105.123,11
2018-12-08 00:00:00+00:00,186.202.252.6,7
2018-12-08 00:00:00+00:00,186.82.148.196,10
2018-12-08 00:00:00+00:00,188.186.128.140,13
2018-12-08 00:00:00+00:00,192.255.201.158,13
2018-12-08 00:00:00+00:00,197.138.143.109,7
2018-12-08 00:00:00+00:00,21.13.192.79,7
2018-12-08 00:00:00+00:00,215.136.154.26,7
2018-12-08 00:00:00+00:00,217.10.236.66,12
2018-12-08 00:00:00+00:00,218.91.178.59,11
2018-12-08 00:00:00+00:00,220.108.11.122,9
2018-12-08 00:00:00+00:00,222.233.39.113,11
2018-12-08 00:00:00+00:00,223.113.160.163,8
2018-12-08 00:00:00+00:00,24.31.177.148,10
2018-12-08 00:00:00+00:00,26.109.69.158,10
2018-12-08 00:00:00+00:00,26.198.18.139,6
2018-12-08 00:00:00+00:00,31.62.34.116,16
2018-12-08 00:00:00+00:00,34.189.96.18,8
2018-12-08 00:00:00+00:00,37.196.66.49,15
2018-12-08 00:00:00+00:00,39.70.24.254,9
2018-12-08 00:00:00+00:00,42.216.79.200,8
2018-12-08 00:00:00+00:00,42.238.143.158,7
2018-12-08 00:00:00+00:00,45.9.65.32,12
2018-12-08 00:00:00+00:00,46.204.146.212,9
2018-12-08 00:00:00+00:00,46.3.211.156,17
2018-12-08 00:00:00+00:00,47.168.215.22,8
2018-12-08 00:00:00+00:00,47.2.229.138,6
2018-12-08 00:00:00+00:00,50.102.72.57,6
2018-12-08 00:00:00+00:00,53.72.86.6,9
2018-12-08 00:00:00+00:00,57.248.255.225,5
2018-12-08 00:00:00+00:00,58.189.46.107,8
2018-12-08 00:00:00+00:00,59.174.28.30,8
2018-12-08 00:00:00+00:00,60.5.134.188,16
2018-12-08 00:00:00+00:00,63.218.195.196,11
2018-12-08 00:00:00+00:00,64.196.109.2,15
2018-12-08 00:00:00+00:00,66.5.32.211,12
2018-12-08 00:00:00+00:00,67.236.190.130,8
2018-12-08 00:00:00+00:00,7.101.224.234,16
2018-12-08 00:00:00+00:00,7.39.250.13,14
2018-12-08 00:00:00+00:00,71.2.35.75,13
2018-12-08 00:00:00+00:00,74.164.255.140,16
2018-12-08 00:00:00+00:00,80.52.84.37,11
2018-12-08 00:00:00+00:00,81.220.24.64,14
2018-12-08 00:00:00+00:00,82.7.24.204,4
2018-12-08 00:00:00+00:00,83.164.153.35,9
2018-12-08 00:00:00+00:00,86.11.204.232,12
2018-12-08 00:00:00+00:00,86.194.45.178,7
2018-12-08 00:00:00+00:00,9.247.182.145,8
2018-12-08 00:00:00+00:00,91.250.241.85,11
2018-12-08 00:00:00+00:00,92.22.109.60,15
2018-12-08 00:00:00+00:00,95.134.227.247,4
2018-12-08 00:00:00+00:00,95.31.167.24,7
2018-12-09 00:00:00+00:00,107.209.226.23,2
2018-12-09 00:00:00+00:00,11.54.117.174,4
2018-12-09 00:00:00+00:00,111.17.192.70,5
2018-12-09 00:00:00+00:00,112.179.83.176,6
2018-12-09 00:00:00+00:00,112.26.7.50,2
2018-12-09 00:00:00+00:00,113.46.220.49,2
2018-12-09 00:00:00+00:00,115.235.218.195,3
2018-12-09 00:00:00+00:00,121.167.38.131,4
2018-12-09 00:00:00+00:00,121.218.22.211,5
2018-12-09 00:00:00+00:00,126.179.101.255,5
2018-12-09 00:00:00+00:00,126.240.129.9,7
